timestamp,voltage_V,current_A,power_W,energy_kWh,frequency_Hz,power_factor,relay_state,rssi_dBm
2026-04-24T10:33:36.486Z,0,0,0,0.029,0,0,0,-72
2026-04-24T10:33:40.745Z,0,0.064,7.7,0.029,50,0.51,1,-67
2026-04-24T10:33:44.930Z,235.2,0.064,7.7,0.029,47.5,0.51,1,-77
2026-04-24T10:33:49.127Z,235.8,0,0,0.029,50,0,1,-67
2026-04-24T10:33:53.306Z,235.3,0.062,7.4,0.029,50,0.51,1,-68
2026-04-24T10:33:57.499Z,235.6,0.062,7.3,0.029,50,0.5,1,-73
2026-04-24T10:34:01.692Z,235.5,0,0,0.029,50,0,1,-68
2026-04-24T10:34:05.873Z,235.5,0.069,8.3,0.029,50,0.51,1,-72
2026-04-24T10:34:10.066Z,235.6,0.066,7.9,0.029,50,0.51,1,-68
2026-04-24T10:34:14.257Z,235.7,0.063,7.5,0.029,50,0.51,1,-78
2026-04-24T10:34:18.449Z,235.6,0.066,8,0.029,50.1,0.51,1,-71
2026-04-24T10:34:22.640Z,235.4,0.066,7.9,0.029,50.1,0.51,1,-71
2026-04-24T10:34:26.836Z,235.5,0.069,8.3,0.029,50.1,0.51,1,-70
2026-04-24T10:34:31.034Z,235.4,0.07,8.4,0.029,50,0.51,1,-72
2026-04-24T10:34:35.224Z,235.6,0.068,8.1,0.029,50.1,0.51,1,-72
2026-04-24T10:34:39.421Z,235.5,0.07,8.4,0.029,50,0.51,1,-78
2026-04-24T10:34:43.613Z,235.4,0.067,8.1,0.029,50,0.51,1,-72
2026-04-24T10:34:47.807Z,235.5,0.068,8.2,0.029,50,0.51,1,-80
2026-04-24T10:34:51.998Z,235.6,0.068,8.3,0.029,50,0.52,1,-74
2026-04-24T10:34:56.295Z,235.3,0.07,8.4,0.029,50,0.51,1,-69
2026-04-24T10:35:00.380Z,235.8,0.068,8.2,0.03,50,0.51,1,-72
2026-04-24T10:35:04.576Z,235.4,0.067,7.9,0.03,50,0.5,1,-68
2026-04-24T10:35:08.764Z,235.5,0.068,7.9,0.03,50,0.49,1,-78
2026-04-24T10:35:12.956Z,235.6,0.068,8.1,0.03,50,0.51,1,-70
2026-04-24T10:35:17.152Z,235.4,0.068,8.1,0.03,50,0.51,1,-73
2026-04-24T10:35:21.340Z,235.6,0.069,8.3,0.03,50,0.51,1,-70
2026-04-24T10:35:25.538Z,235.5,0.066,7.9,0.03,50,0.51,1,-74
2026-04-24T10:35:29.724Z,235.5,0.065,7.8,0.03,50.1,0.51,1,-71
2026-04-24T10:35:33.919Z,235.7,0.066,7.9,0.03,50,0.51,1,-73
2026-04-24T10:35:38.111Z,235.7,0.066,7.9,0.03,50.1,0.51,1,-69
2026-04-24T10:35:42.576Z,235.8,0.065,7.8,0.03,50,0.51,1,-73
2026-04-24T10:35:46.657Z,235.7,0.057,6.7,0.03,50.1,0.5,1,-68
2026-04-24T10:35:50.742Z,235.7,0.062,7.3,0.03,50,0.5,1,-72
2026-04-24T10:35:54.913Z,235.7,0.07,8.4,0.03,50,0.51,1,-67
2026-04-24T10:35:59.077Z,235.2,0.069,8.3,0.03,50,0.51,1,-73
2026-04-24T10:36:03.273Z,235.5,0.067,8,0.03,50,0.51,1,-67
2026-04-24T10:36:07.524Z,235.5,0.066,7.8,0.03,50,0.5,1,-66
2026-04-24T10:36:11.712Z,235.2,0.065,7.7,0.03,50,0.5,1,-73
2026-04-24T10:36:15.839Z,235.2,0.067,7.9,0.03,50,0.5,1,-67
2026-04-24T10:36:20.032Z,235.2,0.053,6,0.03,50,0.48,1,-71
2026-04-24T10:36:24.222Z,235.3,0.051,5.8,0.03,50,0.48,1,-66
2026-04-24T10:36:28.412Z,235.1,0,0,0.03,50,0,1,-73
2026-04-24T10:36:32.589Z,235.4,0,0,0.03,50,0,1,-67
2026-04-24T10:36:36.762Z,235.3,0,0,0.03,50,0,1,-69
2026-04-24T10:36:40.940Z,235.3,0,0,0.03,50,0,1,-69
2026-04-24T10:36:45.116Z,235.3,0,0,0.03,50,0,1,-64
2026-04-24T10:36:49.304Z,235.3,0.054,6,0.03,50,0.47,1,-69
2026-04-24T10:36:53.481Z,235.3,0.054,6.2,0.03,50,0.49,1,-66
2026-04-24T10:36:57.677Z,235.2,0,0,0.03,50,0,1,-70
2026-04-24T10:37:01.849Z,235.1,0.063,7.5,0.03,50,0.51,1,-65
2026-04-24T10:37:06.042Z,235.1,0.066,7.9,0.03,50,0.51,1,-67
2026-04-24T10:37:10.236Z,235.1,0.064,7.6,0.03,50,0.51,1,-71
2026-04-24T10:37:14.424Z,235.1,0.065,7.7,0.03,50,0.5,1,-67
2026-04-24T10:37:18.618Z,235.2,0.064,7.6,0.03,50,0.5,1,-72
2026-04-24T10:37:22.808Z,235.1,0.068,7.9,0.03,50,0.49,1,-65
2026-04-24T10:37:27.000Z,235.1,0.065,7.6,0.03,50,0.5,1,-71
2026-04-24T10:37:31.192Z,234.9,0.065,7.6,0.03,50,0.5,1,-65
2026-04-24T10:37:35.387Z,235.1,0.065,7.6,0.03,50,0.5,1,-71
2026-04-24T10:37:39.575Z,235.3,0.064,7.6,0.03,50,0.5,1,-66
2026-04-24T10:37:43.766Z,235.4,0.064,7.6,0.03,50,0.5,1,-69
2026-04-24T10:37:47.960Z,235.4,0.065,7.6,0.03,50,0.5,1,-66
2026-04-24T10:37:52.152Z,235.3,0.064,7.6,0.03,50,0.5,1,-71
2026-04-24T10:37:56.357Z,235.4,0.065,7.7,0.03,50,0.5,1,-67
2026-04-24T10:38:00.537Z,235,0.067,8,0.03,50,0.51,1,-73
2026-04-24T10:38:04.723Z,235.4,0.064,7.6,0.03,50,0.5,1,-67
2026-04-24T10:38:08.920Z,235.4,0.064,7.5,0.03,50,0.5,1,-66
2026-04-24T10:38:13.108Z,235.3,0.066,7.8,0.03,50,0.5,1,-67
2026-04-24T10:38:17.302Z,235.3,0.067,7.9,0.03,50,0.5,1,-65
2026-04-24T10:38:21.491Z,235.1,0.065,7.7,0.03,50,0.5,1,-72
2026-04-24T10:38:25.687Z,235.3,0.064,7.6,0.03,50,0.5,1,-62
2026-04-24T10:38:29.915Z,235,0.066,7.9,0.03,50,0.51,1,-70
2026-04-24T10:38:34.065Z,235.3,0.067,7.9,0.03,50,0.5,1,-70
2026-04-24T10:38:38.254Z,235.2,0.067,8,0.03,50,0.51,1,-69
2026-04-24T10:38:42.442Z,235.3,0.064,7.6,0.03,50,0.5,1,-64
2026-04-24T10:38:46.635Z,235.2,0.065,7.7,0.03,50,0.5,1,-67
2026-04-24T10:38:50.830Z,235.3,0.065,7.8,0.03,50,0.51,1,-66
2026-04-24T10:38:55.018Z,235.2,0.066,7.9,0.03,50,0.51,1,-70
2026-04-24T10:38:59.211Z,235,0.064,7.6,0.03,50,0.51,1,-66
2026-04-24T10:39:03.400Z,235.1,0.065,7.7,0.03,50,0.5,1,-68
2026-04-24T10:39:07.590Z,235.3,0.064,7.5,0.03,50,0.5,1,-69
2026-04-24T10:39:12.904Z,235.1,0.067,7.9,0.03,50,0.5,1,-66
2026-04-24T10:39:15.974Z,235.3,0.064,7.6,0.03,50,0.5,1,-72
2026-04-24T10:39:20.165Z,235.3,0.065,7.7,0.03,50,0.5,1,-65
2026-04-24T10:39:24.357Z,235.1,0.065,7.7,0.03,50,0.5,1,-68
2026-04-24T10:39:28.561Z,235.1,0.064,8,0.03,50,0.53,1,-67
2026-04-24T10:39:32.734Z,234.7,0.067,8,0.03,50,0.51,1,-70
2026-04-24T10:39:36.920Z,234.9,0.064,7.6,0.03,50,0.51,1,-66
2026-04-24T10:39:41.109Z,235.1,0.064,7.6,0.03,50,0.51,1,-71
